Id,Name,team,position,height,weight,age
936,Adam LaRoche,PIT,First Baseman,75,180,27.32
937,Ryan Doumit,PIT,First Baseman,72,200,25.91
938,Brad Eldred,PIT,First Baseman,77,245,26.63
939,Jose Castillo,PIT,Second Baseman,73,200,25.95
940,Jack Wilson,PIT,Shortstop,72,192,29.17
941,Freddy Sanchez,PIT,Third Baseman,70,192,29.19
942,Jason Bay,PIT,Outfielder,74,200,28.44
943,Jose Bautista,PIT,Outfielder,72,192,26.36
944,Xavier Nady,PIT,Outfielder,74,205,28.29
945,Jody Gerut,PIT,Outfielder,72,190,29.45
946,Nate McLouth,PIT,Outfielder,71,186,25.34
947,Chris Duffy,PIT,Outfielder,70,170,26.86
948,Rajai Davis,PIT,Outfielder,71,197,26.36
949,Shane Youman,PIT,Starting Pitcher,76,219,27.39
950,Yoslan Herrera,PIT,Starting Pitcher,74,200,25.84
951,Josh Shortslef,PIT,Starting Pitcher,76,220,25.08
952,Zach Duke,PIT,Starting Pitcher,74,207,23.87
953,Paul Maholm,PIT,Starting Pitcher,74,225,24.68
954,Tom Gorzelanny,PIT,Starting Pitcher,74,207,24.64
955,Shawn Chacon,PIT,Starting Pitcher,75,212,29.19
956,Tony Armas Jr.,PIT,Starting Pitcher,75,225,28.84
957,Ian Snell,PIT,Starting Pitcher,71,170,25.33
958,Sean Burnett,PIT,Starting Pitcher,71,190,24.45
959,John Grabow,PIT,Relief Pitcher,74,210,28.32
960,Marty McLeary,PIT,Relief Pitcher,77,230,32.34
961,Salomon Torres,PIT,Relief Pitcher,71,210,34.97
962,Damaso Marte,PIT,Relief Pitcher,74,200,32.04
963,Matt Capps,PIT,Relief Pitcher,75,238,23.49
964,Josh Sharpless,PIT,Relief Pitcher,77,234,26.09
965,Bryan Bullington,PIT,Relief Pitcher,76,222,26.41
966,Jonah Bayliss,PIT,Relief Pitcher,74,200,26.55
967,Brian Rogers,PIT,Relief Pitcher,76,190,24.62
968,Juan Perez,PIT,Relief Pitcher,72,170,28.49
969,Bengie Molina,SF,Catcher,71,220,32.61
970,Eliezer Alfonzo,SF,Catcher,72,223,28.06
971,Lance Niekro,SF,First Baseman,75,210,28.08
972,Mark Sweeney,SF,First Baseman,73,215,37.34
973,Ray Durham,SF,Second Baseman,68,196,35.25
974,Kevin Frandsen,SF,Second Baseman,72,175,24.77
975,Omar Vizquel,SF,Shortstop,69,175,39.85
976,Rich Aurilia,SF,Third Baseman,73,189,35.49
977,Pedro Feliz,SF,Third Baseman,73,205,31.84
978,Todd Linden,SF,Outfielder,75,210,26.67
979,Dave Roberts,SF,Outfielder,70,180,34.75
980,Jason Ellison,SF,Outfielder,70,180,28.91
981,Randy Winn,SF,Outfielder,74,197,32.73
982,Ryan Klesko,SF,Outfielder,75,220,35.72
983,Barry Bonds,SF,Outfielder,74,228,42.6
984,Fred Lewis,SF,Outfielder,74,190,26.22
985,Kelyn Acosta,SF,Starting Pitcher,73,204,21.85
986,Jonathan Sanchez,SF,Starting Pitcher,74,165,24.28
987,Matt Cain,SF,Starting Pitcher,75,216,22.41
988,Matt Morris,SF,Starting Pitcher,77,220,32.56
989,Russ Ortiz,SF,Starting Pitcher,73,208,32.74
990,Noah Lowry,SF,Starting Pitcher,74,210,26.39
991,Barry Zito,SF,Starting Pitcher,76,215,28.8
992,Vinnie Chulk,SF,Relief Pitcher,74,195,28.2
993,Kevin Correia,SF,Relief Pitcher,75,200,26.52
994,Steve Kline,SF,Relief Pitcher,73,215,34.52
995,Armando Benitez,SF,Relief Pitcher,76,229,34.32
996,Scott Munter,SF,Relief Pitcher,78,240,26.98
997,Jack Taschner,SF,Relief Pitcher,75,207,28.86
998,Brian Wilson,SF,Relief Pitcher,73,205,24.96
999,Merkin Valdez,SF,Relief Pitcher,77,208,25.3
1000,Brad Hennessey,SF,Relief Pitcher,74,185,27.06
1001,Billy Sadler,SF,Relief Pitcher,72,190,25.44
1002,Pat Misch,SF,Relief Pitcher,74,170,25.53
1003,Gary Bennett,STL,Catcher,72,208,34.87
1004,Yadier Molina,STL,Catcher,71,225,24.63
1005,John Nelson,STL,First Baseman,73,190,27.99
1006,Albert Pujols,STL,First Baseman,75,225,27.12
1007,Adam Kennedy,STL,Second Baseman,73,185,31.14
1008,Aaron Miles,STL,Second Baseman,67,180,30.21
1009,David Eckstein,STL,Shortstop,67,165,32.11
1010,Scott Rolen,STL,Third Baseman,76,240,31.91
1011,Scott Spiezio,STL,Third Baseman,74,220,34.44
1012,Jim Edmonds,STL,Outfielder,73,212,36.68
1013,So Taguchi,STL,Outfielder,70,163,37.66
1014,Juan Encarnacion,STL,Outfielder,75,215,30.98
1015,Skip Schumaker,STL,Outfielder,70,175,27.07
1016,John Rodriguez,STL,Outfielder,72,205,29.11
1017,Chris Duncan,STL,Outfielder,77,210,25.82
1018,Adam Wainwright,STL,Starting Pitcher,79,205,25.5
1019,Mark Mulder,STL,Starting Pitcher,78,208,29.57
1020,Anthony Reyes,STL,Starting Pitcher,74,215,25.37
1021,Ryan Franklin,STL,Starting Pitcher,75,180,33.99
1022,Kip Wells,STL,Starting Pitcher,75,200,29.86
1023,Chris Carpenter,STL,Starting Pitcher,78,230,31.84
1024,Russ Springer,STL,Relief Pitcher,76,211,38.31
1025,Jason Isringhausen,STL,Relief Pitcher,75,230,34.48
1026,Ricardo Rincon,STL,Relief Pitcher,69,190,36.88
1027,Braden Looper,STL,Relief Pitcher,75,220,32.34
1028,Randy Flores,STL,Relief Pitcher,72,180,31.58
1029,Josh Hancock,STL,Relief Pitcher,75,205,28.89
1030,Brad Thompson,STL,Relief Pitcher,73,190,25.08
1031,Tyler Johnson,STL,Relief Pitcher,74,180,25.73
1032,Chris Narveson,STL,Relief Pitcher,75,205,25.19
1033,Randy Keisler,STL,Relief Pitcher,75,190,31.01
1034,Josh Kinney,STL,Relief Pitcher,73,195,27.92
